id,round,opponent_team,was_home,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,value,selected,transfers_in,transfers_out
29,1,5,False,90,1,0,0,0,4,0,1,0,0.00,0.00,0.00,3.77,0,45,10183,0,0
29,2,1,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,13320,845,881
29,3,11,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,14920,2306,2375
29,4,18,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,14214,1027,1628
29,5,19,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,13259,416,1492
32,1,5,False,90,-1,0,0,0,4,0,-8,1,0.00,0.00,0.00,3.77,7,45,789072,0,0
32,2,1,True,77,2,0,0,0,1,0,8,0,0.15,0.01,0.16,1.04,6,45,749133,26978,106327
32,3,11,False,84,6,0,0,1,0,0,23,0,0.00,0.03,0.03,0.22,1,45,731987,41628,77307
32,4,18,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,641566,18781,99663
32,5,19,False,45,-1,0,0,0,2,0,-7,1,0.00,0.00,0.00,0.92,3,44,542880,5264,110692
33,1,5,False,16,1,0,0,0,0,0,5,0,0.00,0.00,0.00,0.22,1,45,29034,0,0
33,2,1,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,38144,3253,3507
33,3,11,False,90,6,0,0,1,0,0,28,0,0.11,0.02,0.13,0.57,5,45,38099,2622,4836
33,4,18,True,65,0,0,0,0,2,0,0,1,0.09,0.00,0.09,2.08,5,45,43024,5312,2524
33,5,19,False,90,3,0,0,0,2,0,10,0,0.00,0.00,0.00,1.56,13,45,41769,3533,5157
34,1,5,False,73,0,0,0,0,4,0,-14,0,0.00,0.00,0.00,3.55,5,45,38472,0,0
34,2,1,True,90,2,0,0,0,1,0,6,0,0.00,0.01,0.01,1.04,4,45,41549,1831,5060
34,3,11,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,46943,5255,4336
34,4,18,True,24,1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.20,0,45,43964,3870,5587
34,5,19,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,34289,237,9375
35,1,5,False,16,1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.22,1,50,5822,0,0
35,2,1,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,50,6973,636,985
35,3,11,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,50,7284,945,1256
35,4,18,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,50,7155,686,1126
35,5,19,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,50,6803,474,961
36,1,5,False,81,0,0,0,0,4,0,-9,0,0.03,0.00,0.03,3.62,9,45,71952,0,0
36,2,1,True,90,1,0,0,0,1,0,-5,1,0.07,0.00,0.07,1.04,8,45,72655,2546,8858
36,3,11,False,74,7,0,0,1,0,1,29,0,0.00,0.42,0.42,0.22,3,45,83194,11292,8625
36,4,18,True,90,1,0,0,0,2,0,7,0,0.18,0.03,0.21,1.66,4,45,92419,17456,7012
36,5,19,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,58351,548,31243
37,1,5,False,90,-2,0,0,0,4,0,-13,0,0.00,0.00,0.00,3.77,3,45,24630,0,0
37,2,1,True,90,2,0,0,0,1,0,10,0,0.00,0.08,0.08,1.04,7,45,27172,1775,4011
37,3,11,False,90,6,0,0,1,0,0,28,0,0.00,0.08,0.08,0.57,4,45,29725,3211,2995
37,4,18,True,90,1,0,0,0,2,0,2,0,0.44,0.01,0.45,2.28,2,45,33974,5112,2100
37,5,19,False,90,1,0,0,0,2,0,1,0,0.00,0.00,0.00,1.56,6,45,33907,3502,3917
41,1,5,False,85,2,0,0,0,4,0,4,0,0.13,0.09,0.22,3.62,7,60,120830,0,0
41,2,1,True,90,2,0,0,0,1,0,9,0,0.04,0.02,0.06,1.04,5,60,114718,5020,21886
41,3,11,False,74,3,0,0,1,0,0,2,0,0.61,0.05,0.66,0.22,2,60,128636,20598,24117
41,4,18,True,62,2,0,0,0,1,0,8,0,0.00,0.01,0.01,1.42,5,59,111856,15961,21861
41,5,19,False,90,12,1,0,0,2,3,50,0,0.14,0.07,0.21,1.56,15,59,94622,6405,23281
45,1,5,False,81,1,0,0,0,4,0,8,1,0.04,0.01,0.05,3.62,6,55,290994,0,0
45,2,1,True,90,1,0,0,0,1,0,2,1,0.05,0.05,0.10,1.04,4,55,274653,7606,44653
45,3,11,False,90,3,0,0,1,0,0,6,0,0.68,0.03,0.71,0.57,5,54,252885,16891,44482
45,4,18,True,90,6,0,1,0,2,1,30,0,0.00,0.11,0.11,2.28,9,54,243800,20520,33241
45,5,19,False,83,6,0,1,1,0,0,19,0,0.00,0.04,0.04,0.78,6,54,240695,18814,24586
46,1,5,False,73,2,0,0,0,4,0,11,0,0.10,0.02,0.12,3.55,1,50,20508,0,0
46,2,1,True,77,2,0,0,0,1,0,23,0,0.03,0.02,0.05,1.04,10,50,23246,1875,2716
46,3,11,False,90,3,0,0,1,0,0,15,0,0.22,0.09,0.31,0.57,6,50,27497,5744,4009
46,4,18,True,62,2,0,0,0,1,0,14,0,0.03,0.01,0.04,1.42,7,50,29642,5244,3748
46,5,19,False,6,1,0,0,0,2,0,3,0,0.00,0.00,0.00,0.78,4,50,28594,2694,4004
47,1,5,False,90,2,0,0,0,4,0,9,0,0.00,0.00,0.00,3.77,7,50,31172,0,0
47,2,1,True,90,2,0,0,0,1,0,13,0,0.00,0.03,0.03,1.04,8,50,33591,2489,4739
47,3,11,False,90,3,0,0,1,0,0,20,0,0.00,0.07,0.07,0.57,10,50,35132,5061,5781
47,4,18,True,90,2,0,0,0,2,0,17,0,0.00,0.05,0.05,2.28,5,50,34935,3671,4694
47,5,19,False,83,6,0,1,1,0,0,26,0,0.12,0.01,0.13,0.78,6,50,32641,1988,4734
51,1,5,False,90,2,0,0,0,4,0,12,0,0.00,0.00,0.00,3.77,5,45,60759,0,0
51,2,1,True,70,2,0,0,0,1,0,5,0,0.00,0.01,0.01,1.01,6,45,72550,8743,5484
51,3,11,False,74,3,0,0,1,0,0,12,0,0.07,0.14,0.21,0.22,7,45,110782,36405,14435
51,4,18,True,45,1,0,0,0,0,0,3,0,0.00,0.01,0.01,0.39,1,45,147009,53459,22740
51,5,19,False,18,1,0,0,0,2,0,2,0,0.00,0.00,0.00,0.87,0,45,135094,14076,17274
52,1,5,False,8,1,0,0,0,0,0,5,0,0.00,0.00,0.00,0.14,3,50,3792,0,0
52,2,1,True,19,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.02,2,50,4426,343,596
52,3,11,False,15,1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.35,1,50,4733,827,929
52,4,18,True,45,6,1,0,0,2,0,24,0,0.06,0.00,0.06,1.89,2,50,4724,508,713
52,5,19,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,50,6101,1608,625
53,1,5,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,60,26624,0,0
53,2,1,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,60,18618,232,8790
53,3,11,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,59,14230,341,5049
53,4,18,True,27,1,0,0,0,1,0,3,0,0.00,0.08,0.08,0.86,2,59,13307,570,1790
53,5,19,False,71,13,1,1,1,0,2,45,0,0.44,0.16,0.60,0.68,7,59,14639,1843,990
54,1,5,False,39,-2,0,0,0,4,0,-2,0,0.00,0.01,0.01,2.58,7,55,6573,0,0
54,2,1,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,55,5096,154,1883
54,3,11,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,55,4112,90,1185
54,4,18,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,55,3819,131,514
54,5,19,False,90,4,0,0,0,2,0,13,0,0.00,0.02,0.02,1.56,13,55,4213,464,327
56,1,5,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,55,11764,0,0
56,2,1,True,19,1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.02,0,55,10592,597,2683
56,3,11,False,5,1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.35,1,55,14917,4925,2751
56,4,18,True,45,1,0,0,0,2,0,4,0,0.00,0.00,0.00,1.89,1,55,17325,4186,2817
56,5,19,False,2,1,0,0,0,1,0,3,0,0.00,0.00,0.00,0.43,0,55,19806,4340,2925
160,1,5,False,4,1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.14,0,60,54802,0,0
160,2,1,True,12,1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,2,60,53506,2021,10575
160,3,11,False,15,1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.35,0,59,46064,2557,12081
160,4,18,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,59,40475,1531,8756
160,5,19,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,58,35129,839,7041
166,1,10,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,65,29435,0,0
166,2,1,True,70,2,0,0,0,1,0,11,0,0.00,0.10,0.10,1.01,3,65,63340,26989,5175
166,3,11,False,84,2,0,0,1,0,0,10,0,0.24,0.44,0.68,0.22,2,65,115958,46877,9043
