id,web_name,team,pos,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,red_cards,saves,defensive_contribution,expected_goals,expected_assists,expected_goals_conceded
314,Ogbene,IPS,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
315,Fatawu,IPS,MID,66,-1,0,0,0,1,0,4,0,1,0,4,0.14,0.28,1.68
316,Emersonn,IPS,FWD,80,2,0,0,0,1,0,9,0,0,0,1,0.13,0.01,2.07
317,Hirst,IPS,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
318,Philogene,IPS,MID,24,1,0,0,0,0,0,5,0,0,0,1,0.06,0.01,0.56
319,Szmodics,IPS,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
320,Akpom,IPS,FWD,9,1,0,0,0,0,0,3,0,0,0,0,0.17,0.00,0.16
321,Walle Egeli,IPS,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
322,Al-Hamadi,IPS,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
323,McAteer,IPS,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
324,Mehmeti,IPS,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
325,Darlow,MUN,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
326,Perri,LEE,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
327,Bijol,LEE,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
328,Struijk,BHA,DEF,85,5,0,0,1,0,0,24,1,0,0,6,0.16,0.00,1.48
329,Rodon,LEE,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
330,Bogle,LEE,DEF,66,5,0,0,1,0,0,14,1,0,0,1,0.07,0.00,0.66
331,Gudmundsson,LEE,DEF,90,6,0,0,1,0,0,27,0,0,0,5,0.00,0.03,1.06
332,Justin,LEE,DEF,90,8,0,0,1,0,2,31,0,0,0,9,0.05,0.12,1.06
333,Bornauw,LEE,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
334,Muharemović,LEE,DEF,90,6,0,0,1,0,0,22,0,0,0,8,0.40,0.01,1.06
335,Stach,LEE,MID,90,5,0,0,1,0,0,13,0,0,0,13,0.05,0.08,1.06
336,Okafor,LEE,MID,75,3,0,0,1,0,0,17,0,0,0,5,0.02,0.01,0.68
337,Aaronson,LEE,MID,22,1,0,0,0,0,0,5,0,0,0,4,0.00,0.00,0.40
338,Ampadu,LEE,MID,90,5,0,0,1,0,0,19,0,0,0,14,0.00,0.10,1.06
339,Longstaff,LEE,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
340,Gelhardt,HUL,MID,7,1,0,0,0,0,0,5,0,0,0,1,0.10,0.02,0.13
341,Gnonto,LEE,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
342,Harrison,LEE,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
343,James,LEE,MID,23,1,0,0,0,0,0,3,0,0,0,1,0.00,0.00,0.40
344,Gruev,LEE,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
345,Tanaka,LEE,MID,67,2,0,0,1,0,0,0,1,0,0,5,0.14,0.00,0.66
346,Calvert-Lewin,LEE,FWD,90,2,0,0,1,0,0,7,0,0,0,8,0.52,0.00,1.06
347,Nmecha,LEE,FWD,14,1,0,0,0,0,0,4,0,0,0,2,0.00,0.00,0.37
348,Piroe,LEE,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
349,Mateo Joseph,LEE,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
350,A.Becker,LIV,GK,90,8,0,0,1,0,2,30,0,0,2,0,0.00,0.00,0.79
351,Mamardashvili,LIV,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
352,Woodman,LIV,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
353,Pecsi,LIV,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
354,Jaros,LIV,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
355,Davies,LIV,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
356,Virgil,LIV,DEF,90,8,0,0,1,0,0,26,0,0,0,13,0.00,0.01,0.79
357,Frimpong,LIV,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
358,Kerkez,LIV,DEF,90,6,0,0,1,0,0,22,0,0,0,7,0.05,0.01,0.79
359,Gomez,LIV,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
360,Bradley,LIV,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
361,Lucky,LIV,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
362,Jacquet,LIV,DEF,90,6,0,0,1,0,0,26,0,0,0,8,0.00,0.02,0.79
363,Leoni,LIV,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
364,Tsimikas,LIV,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
365,Ramsay,LIV,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
366,Wirtz,LIV,MID,70,6,0,1,1,0,0,25,0,0,0,8,0.22,0.05,0.66
367,Gakpo,LIV,MID,90,3,0,0,1,0,0,13,0,0,0,5,0.20,0.49,0.79
